Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,447376.32,+36694.8,+8.94%,797599
October 2024,410681.51,-16130.16,-3.78%,706726
September 2024,426811.67,-22986.42,-5.11%,726385
August 2024,449798.09,-25595.56,-5.38%,734381
July 2024,475393.65,-11280.69,-2.32%,801126
June 2024,486674.34,-26244.86,-5.12%,869492
May 2024,512919.20,56368.39,+12.35%,943059
April 2024,456550.81,27632.26,+6.44%,921133
March 2024,428918.55,996.14,+0.23%,729865
February 2024,427922.41,-12306.95,-2.80%,741290
January 2024,440229.36,4711.72,+1.08%,736488
December 2023,435517.65,1790.02,+0.41%,802728
November 2023,433727.63,-1893.35,-0.43%,767353
October 2023,435620.98,-1652.43,-0.38%,780443
September 2023,437273.40,-7045.83,-1.59%,777466
August 2023,444319.24,5809.01,+1.32%,855495
July 2023,438510.22,17173.81,+4.08%,702381
June 2023,421336.42,-11884.27,-2.74%,679525
May 2023,433220.69,3994.22,+0.93%,711816
April 2023,429226.47,10481.98,+2.50%,809580
March 2023,418744.49,16897.45,+4.20%,752617
February 2023,401847.04,-26449.56,-6.18%,680746
January 2023,428296.61,-40248.41,-8.59%,764490
December 2022,468545.02,-55139.04,-10.53%,827395
November 2022,523684.06,67381.42,+14.77%,990057
October 2022,456302.65,-34422.21,-7.01%,1038848
September 2022,490724.86,22257.99,+4.75%,867484
August 2022,468466.87,23872.31,+5.37%,747231
July 2022,444594.56,-13548.95,-2.96%,684842
June 2022,458143.51,11226.61,+2.51%,699592
May 2022,446916.90,-4909.87,-1.09%,691586
April 2022,451826.77,3103.17,+0.69%,730168
March 2022,448723.60,-1476.54,-0.33%,740784
February 2022,450200.14,-35591.30,-7.33%,725851
January 2022,485791.43,36494.07,+8.12%,786118
December 2021,449297.37,436.83,+0.10%,756170
November 2021,448860.53,-1900.91,-0.42%,747506
October 2021,450761.44,59679.37,+15.26%,752482
September 2021,391082.08,-33898.09,-7.98%,666838
August 2021,424980.17,1823.99,+0.43%,699613
July 2021,423156.18,1646.22,+0.39%,707406
June 2021,421509.96,6365.00,+1.53%,734277
May 2021,415144.96,1360.00,+0.33%,672307
April 2021,413784.97,23372.21,+5.99%,705534
March 2021,390412.76,-14419.37,-3.56%,648875
February 2021,404832.13,-27839.52,-6.43%,651615
January 2021,432671.65,10119.33,+2.39%,694613
December 2020,422552.32,-3352.52,-0.79%,697833
November 2020,425904.83,19543.48,+4.81%,711824
October 2020,406361.36,-2248.43,-0.55%,723280
September 2020,408609.78,-21107.34,-4.91%,670547
August 2020,429717.12,-20496.87,-4.55%,666138
July 2020,450213.99,-6970.43,-1.52%,712610
June 2020,457184.42,-27004.60,-5.58%,733294
May 2020,484189.02,-9111.25,-1.85%,793135
April 2020,493300.27,56152.91,+12.85%,801121
March 2020,437147.36,31168.71,+7.68%,743933
February 2020,405978.65,27053.22,+7.14%,663812
January 2020,378925.43,-5254.32,-1.37%,616415
